,Guitar Name 
0,"JOYMUSIC 6 String 38"" Acoustic Guitar Kit,Blueburst,Gloss (JG-38C,BLS), Right"
1,"First Act Acoustic Sunburst Guitar, 30 Inch - Brass Acoustic Guitar Strings, Tuning Gear, String Post Covers, Steel-Reinforced Neck, Strap Buttons – Musical Instruments"
2,"RockJam Acoustic Guitar Superkit Includes Stand, Gig Bag, Tuner, Picks, Plectrum Holder, Spare Strings & Online Lessons 6 String Pack, Right, Natural, Full (RJW-101-N-PK)"
3,"Donner Black Acoustic Guitar for Beginner Adult with Free Online Lesson Full Size Dreadnought Acustica Guitarra Bundle Kit with Bag Strap Tuner Capo Pickguard Pick, Right Hand 41 Inch, DAG-1B/DAD-160D"
4,"Moukey 41"" Acoustic Guitar for Beginner Adult Teen Full Size Guitarra Acustica with Chord Poster, Gig Bag, Tuner, Picks, Strings, Capo, Cloth, Strap Right Hand - Natural"
5,"Ashthorpe 30-inch Beginner Acoustic Guitar Package (Sunburst), Basic Starter Kit w/Gig Bag, Strings, Strap, Tuner, Picks"
6,Beginner Classical Acoustic Guitars 36 Inch 3/4 Size Kids Junior Guitar Guitarra Acustica Soft Nylon Strings With Chord Poster Bag Strap Tuner Hanger Strings Winder Picks Holder and Wipe
7,"IVIDEOSONGS Guitar Chords Poster (24""x36"") • 84 Guitar Chords with Fretboard Diagram • 150+ Free Online Tutorials & Song Lessons"
8,"YMC 38"" Blue Beginner Acoustic Guitar Starter Package Student Guitar with Gig Bag,Strap, 3 Thickness 9 Picks,2 Pickguards,Pick Holder, Extra Strings, Electronic Tuner -Blue"
9,"Abstract Art Cool Guitar Picks - Wassily Kandinsky Paintings. 12 Medium Gauge Celluloid Guitar Picks In a Box W/Picks Holder. Unique Guitar Gift For Bass, Electric & Acoustic Guitars"
10,"Fender Squier Dreadnought Acoustic Guitar - Sunburst Learn-to-Play Bundle with Gig Bag, Tuner, Strap, Strings, Picks, String Winder, Fender Play, and Austin Bazaar Instructional DVD"
11,"Yamaha F325D Acoustic Guitar, Natural"
12,"Fender CP-60S Parlor Acoustic Guitar, Walnut Fingerboard, Sunburst"
13,"Moukey 41"" Acoustic Guitar for Beginner Adult Teen Full Size Guitarra Acustica with Chord Poster, Gig Bag, Tuner, Picks, Strings, Capo, Cloth, Strap Right Hand - Black"
14,"Moukey 38in Acoustic Guitar for Beginner Kid Adult Teen Guitarra Acustica with Chord Poster, Gig Bag, Tuner, Picks, Nylon Strings, Capo, Cloth, Strap - Sunburst"
15,"Enya Carbon Fiber Acoustic Electric Guitar X4 Pro AcousticPlus 41” Cutaway Guitar Bundle with Hard Case, Leather Strap(EA-X4E Pro)"
16,"ZENY 39"" Full Size Electric Guitar with Amp, Case and Accessories Pack Beginner Starter Package, Blue Ideal Christmas Thanksgiving Holiday Gift"
17,"Ashthorpe 30-inch Beginner Acoustic Guitar Package (Black), Basic Starter Kit w/Gig Bag, Strings, Strap, Tuner, Picks"
18,"Donner Acoustic Guitar Kit for Beginner Adult Teen Full Size Cutaway Acustica Guitarra Starter Bundle Set with Bag Strap Tuner Capo Pickguard Pick, Right Hand 41 Inch Natural, DAG-1C/DAD-110C"
19,"Fender CC-60S Concert Acoustic Guitar, Walnut Fingerboard, Natural"
20,"YAMAHA FG800 Solid Top Acoustic Guitar,Natural,Guitar Only"
21,"LyxPro Left Hand 39 Inch Electric Guitar and Starter Kit for Lefty Full Size Beginner’s Guitar, Amp, Six Strings, Two Picks, Shoulder Strap, Digital Clip On Tuner, Guitar Cable and Soft Case - Blue"
22,Fender FA-235E Concert Bodied Acoustic Guitar - Moonlight Burst
23,"Enya Nova Go Carbon Fiber Acoustic Guitar 1/2 Size Beginner Adult Travel Acustica Guitarra w/Starter Bundle Kit of Colorful Gift Packaging, Acoustic Guitar Strap, EVA Case, Cleaning Cloth(Blue)"
24,"Yamaha GL Series GL1 TBS Guitalele, Tobacco Sunburst"
25,Fender CC-60SCE Concert Acoustic Guitar - Natural
26,"RockJam Electric Guitar Superkit with 10-watt Amp, Gig Bag, Picks & Online Lessons 6 String Pack, Right, Sunburst, Full (RJEG03-SK-SB)"
27,Ashthorpe Full-Size Cutaway Thinline Acoustic-Electric Guitar Package - Premium Tonewoods - Brown
28,"Little Martin LX1E Acoustic-Electric Guitar with Gig Bag, Sitka Spruce Top, Mahogany HPL Construction, Modified 0-14 Fret, Modified Low Oval Neck Shape"
29,Ibanez AEWC400FM Acoustic-Electric Guitar
30,Fender Newporter Player Acoustic Guitar - Natural
31,"Gretsch G9201 Honey Dipper Round-Neck Metal Resonator - Brass Body, Padauk Fingerboard"
32,"Donner DST-100S 39 Inch Full Size Electric Guitar Kit Solid Body Sunburst, Beginner Starter, with Amplifier, Bag, Capo, Strap, String, Tuner, Cable, Picks"
33,"Soldin 40 Inch Acoustic Guitar Premium Solid Spruce Top Cutaway Acustica Guitarra Bundle kit With Gig Bag,Guitar Stand,Tuner,Strap,Capo,Strings,Cleaning Cloth and Picks(Silent black)"
34,Yamaha JR1 FG Junior 3/4 Size Acoustic Guitar
35,"Yamaha SLG200S NT Steel String Silent Guitar with Hard Gig Bag, Natural"
36,"Traveler Guitar Acoustic Guitar 6 String Pro-Series Mod-X (Matte Black), Right, (PSM BKM)"
37,"Acoustic Electric Guitar Full Size Acoustic Guitar Cutaway Beginner Kit Bundle Guitarra Acustica with Pickup for Adults Teens, Matte Black, by Vangoa"
38,Gretsch Guitars G5024E Rancher Dreadnought Acoustic-Electric Guitar Sunburst
39,"Beginner 30” Classical Acoustic Guitar - 1/4 Junior Size 6 String Linden Wood Guitar w/ Gig Bag, Tuner, Nylon Strings, Picks, Strap, For Beginners, Adults - Pyle PGACLS30"
40,"WINZZ AF227A 39 Inches Concert Acoustic Acustica Guitar with Full Kit, Glossy Black"
