,Guitar Name ,href 
0,"JOYMUSIC 6 String 38"" Acoustic Guitar Kit,Blueburst,Gloss (JG-38C,BLS), Right",/JOYMUSIC-String-Right-Blueburst-JG-38C/dp/B08Q5TK31N/ref=sr_1_1?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-1
1,"First Act Acoustic Sunburst Guitar, 30 Inch - Brass Acoustic Guitar Strings, Tuning Gear, String Post Covers, Steel-Reinforced Neck, Strap Buttons – Musical Instruments",/First-Act-Acoustic-Sunburst-Guitar/dp/B085TC842Z/ref=sr_1_2?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-2
2,"Fender CC-60S Concert Acoustic Guitar, Walnut Fingerboard, Natural",/Fender-CC-60S-Concert-Acoustic-Natural/dp/B07FYW9M4Q/ref=sr_1_3?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-3
3,"Donner Black Acoustic Guitar for Beginner Adult with Free Online Lesson Full Size Dreadnought Acustica Guitarra Bundle Kit with Bag Strap Tuner Capo Pickguard Pick, Right Hand 41 Inch, DAG-1B/DAD-160D",/gp/slredirect/picassoRedirect.html/ref=pa_sp_search_thematic_aps_sr_pg1_1?ie=UTF8&adId=A07707351Z2TXDZFZM0W3&url=%2FDonner-DAG-1B-Beginner-Acoustic-Dreadnought%2Fdp%2FB07K6FWTJD%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.b245e49f-68a4-4489-b1f9-81f4034255f5%253Aamzn1.sym.b245e49f-68a4-4489-b1f9-81f4034255f5%26crid%3D2IQADK0QSXLPZ%26cv_ct_cx%3Dguitar%26keywords%3Dguitar%26pd_rd_i%3DB07K6FWTJD%26pd_rd_r%3Dcad9fe00-8165-4ecc-acc1-b0172811c40f%26pd_rd_w%3DPOa1q%26pd_rd_wg%3D2La0H%26pf_rd_p%3Db245e49f-68a4-4489-b1f9-81f4034255f5%26pf_rd_r%3D17DAGAW97GSE7GQP12CF%26qid%3D1656169171%26sprefix%3Dguitar%252Caps%252C447%26sr%3D1-1-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons%26psc%3D1&qualifier=1656169171&id=8464196815966196&widgetName=sp_search_thematic
4,Beginner Classical Acoustic Guitars 36 Inch 3/4 Size Kids Junior Guitar Guitarra Acustica Soft Nylon Strings With Chord Poster Bag Strap Tuner Hanger Strings Winder Picks Holder and Wipe,/gp/slredirect/picassoRedirect.html/ref=pa_sp_search_thematic_aps_sr_pg1_2?ie=UTF8&adId=A01089533D47FPDIU3WQY&url=%2FClassical-Acoustic-Beginners-Strings-Waterproof%2Fdp%2FB07FHZC61S%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.b245e49f-68a4-4489-b1f9-81f4034255f5%253Aamzn1.sym.b245e49f-68a4-4489-b1f9-81f4034255f5%26crid%3D2IQADK0QSXLPZ%26cv_ct_cx%3Dguitar%26keywords%3Dguitar%26pd_rd_i%3DB07FHZC61S%26pd_rd_r%3Dcad9fe00-8165-4ecc-acc1-b0172811c40f%26pd_rd_w%3DPOa1q%26pd_rd_wg%3D2La0H%26pf_rd_p%3Db245e49f-68a4-4489-b1f9-81f4034255f5%26pf_rd_r%3D17DAGAW97GSE7GQP12CF%26qid%3D1656169171%26sprefix%3Dguitar%252Caps%252C447%26sr%3D1-2-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons%26psc%3D1&qualifier=1656169171&id=8464196815966196&widgetName=sp_search_thematic
5,"Moukey 41"" Acoustic Guitar for Beginner Adult Teen Full Size Guitarra Acustica with Chord Poster, Gig Bag, Tuner, Picks, Strings, Capo, Cloth, Strap Right Hand - Natural",/gp/slredirect/picassoRedirect.html/ref=pa_sp_search_thematic_aps_sr_pg1_3?ie=UTF8&adId=A0675200K6RX8CXIMV61&url=%2FMoukey-Acoustic-Beginner-Guitarra-Acustica%2Fdp%2FB09DYGG5N2%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.b245e49f-68a4-4489-b1f9-81f4034255f5%253Aamzn1.sym.b245e49f-68a4-4489-b1f9-81f4034255f5%26crid%3D2IQADK0QSXLPZ%26cv_ct_cx%3Dguitar%26keywords%3Dguitar%26pd_rd_i%3DB09DYGG5N2%26pd_rd_r%3Dcad9fe00-8165-4ecc-acc1-b0172811c40f%26pd_rd_w%3DPOa1q%26pd_rd_wg%3D2La0H%26pf_rd_p%3Db245e49f-68a4-4489-b1f9-81f4034255f5%26pf_rd_r%3D17DAGAW97GSE7GQP12CF%26qid%3D1656169171%26sprefix%3Dguitar%252Caps%252C447%26sr%3D1-3-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons%26psc%3D1%26smid%3DAUQEMPZJWU2GJ&qualifier=1656169171&id=8464196815966196&widgetName=sp_search_thematic
6,"Ashthorpe 30-inch Beginner Acoustic Guitar Package (Sunburst), Basic Starter Kit w/Gig Bag, Strings, Strap, Tuner, Picks",/gp/slredirect/picassoRedirect.html/ref=pa_sp_search_thematic_aps_sr_pg1_4?ie=UTF8&adId=A01751602HWKFTS124OLK&url=%2FAshthorpe-30-inch-Beginner-Acoustic-Sunburst%2Fdp%2FB099NSR2YV%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.b245e49f-68a4-4489-b1f9-81f4034255f5%253Aamzn1.sym.b245e49f-68a4-4489-b1f9-81f4034255f5%26crid%3D2IQADK0QSXLPZ%26cv_ct_cx%3Dguitar%26keywords%3Dguitar%26pd_rd_i%3DB099NSR2YV%26pd_rd_r%3Dcad9fe00-8165-4ecc-acc1-b0172811c40f%26pd_rd_w%3DPOa1q%26pd_rd_wg%3D2La0H%26pf_rd_p%3Db245e49f-68a4-4489-b1f9-81f4034255f5%26pf_rd_r%3D17DAGAW97GSE7GQP12CF%26qid%3D1656169171%26sprefix%3Dguitar%252Caps%252C447%26sr%3D1-4-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons%26psc%3D1&qualifier=1656169171&id=8464196815966196&widgetName=sp_search_thematic
7,"30"" Wood Guitar with Case and Accessories for Kids/Girls/Boys/Beginners (Natural)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_search_thematic_aps_sr_pg1_5?ie=UTF8&adId=A0868722219P6SON4U535&url=%2FNatural-Wood-Guitar-Case-Beginners%2Fdp%2FB01MG5Z6FX%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.b245e49f-68a4-4489-b1f9-81f4034255f5%253Aamzn1.sym.b245e49f-68a4-4489-b1f9-81f4034255f5%26crid%3D2IQADK0QSXLPZ%26cv_ct_cx%3Dguitar%26keywords%3Dguitar%26pd_rd_i%3DB01MG5Z6FX%26pd_rd_r%3Dcad9fe00-8165-4ecc-acc1-b0172811c40f%26pd_rd_w%3DPOa1q%26pd_rd_wg%3D2La0H%26pf_rd_p%3Db245e49f-68a4-4489-b1f9-81f4034255f5%26pf_rd_r%3D17DAGAW97GSE7GQP12CF%26qid%3D1656169171%26sprefix%3Dguitar%252Caps%252C447%26sr%3D1-5-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons%26psc%3D1%26smid%3DA1ALOOKIBWMHYG&qualifier=1656169171&id=8464196815966196&widgetName=sp_search_thematic
8,"JMFinger Full Size Steel String Acoustic Guitar 41 Inch for Beginners with Gig Bag, Tuner, Strap, Picks, Guitar Hanger, String Winder (Blue)",/JMFinger-41-Inch-Beginners-Blue/dp/B094J7FC9Q/ref=sxin_14_trfob_0_B094J7FC9Q?content-id=amzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a%3Aamzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a&crid=2IQADK0QSXLPZ&cv_ct_cx=guitar&keywords=guitar&pd_rd_i=B094J7FC9Q&pd_rd_r=cad9fe00-8165-4ecc-acc1-b0172811c40f&pd_rd_w=Hg5Wl&pd_rd_wg=2La0H&pf_rd_p=d1687343-4d33-4fc8-8397-a05b9928ee2a&pf_rd_r=17DAGAW97GSE7GQP12CF&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=1-1-eef91bd8-9d31-490c-8bb3-80f02876f902
9,"JMFinger Full Size 41 Inch Cutaway Acoustic Guitar for Beginners with Bag, Tuner, Strap, Picks, Guitar Hanger,String Winder, Blue",/JMFinger-Full-41-Acoustic-Guitar/dp/B0876NNNGC/ref=sxin_14_trfob_1_B0876NNNGC?content-id=amzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a%3Aamzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a&crid=2IQADK0QSXLPZ&cv_ct_cx=guitar&keywords=guitar&pd_rd_i=B0876NNNGC&pd_rd_r=cad9fe00-8165-4ecc-acc1-b0172811c40f&pd_rd_w=Hg5Wl&pd_rd_wg=2La0H&pf_rd_p=d1687343-4d33-4fc8-8397-a05b9928ee2a&pf_rd_r=17DAGAW97GSE7GQP12CF&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=1-2-eef91bd8-9d31-490c-8bb3-80f02876f902
